t_ms,ax,ay,az,gx,gy,gz,roll_acc,roll_filt
1460,-0.0598,-0.0045,0.9890,-0.092,0.366,-0.305,-0.26,-0.29
1480,-0.0602,-0.0054,0.9900,-0.046,0.550,-0.244,-0.31,-0.29
1500,-0.0608,-0.0071,0.9915,-0.122,0.534,-0.321,-0.41,-0.30
1520,-0.0601,-0.0039,0.9919,-0.137,0.504,-0.275,-0.23,-0.30
1540,-0.0630,-0.0034,0.9912,-0.122,0.473,-0.198,-0.20,-0.30
1560,-0.0591,-0.0057,0.9901,-0.168,0.626,-0.321,-0.33,-0.30
1580,-0.0632,-0.0048,0.9917,-0.076,0.443,-0.214,-0.28,-0.31
1600,-0.0659,-0.0038,0.9901,-0.061,0.550,-0.305,-0.22,-0.30
1620,-0.0643,-0.0038,0.9895,-0.015,0.580,-0.275,-0.22,-0.30
1640,-0.0656,-0.0024,0.9907,-0.092,0.580,-0.214,-0.14,-0.30
1660,-0.0667,-0.0028,0.9913,-0.168,0.611,-0.183,-0.16,-0.30
1680,-0.0662,-0.0017,0.9926,-0.260,0.412,-0.214,-0.10,-0.30
1700,-0.0640,-0.0018,0.9882,-0.260,0.672,-0.137,-0.11,-0.30
1720,-0.0643,-0.0017,0.9916,-0.305,1.069,0.000,-0.10,-0.31
1740,-0.0649,-0.0045,0.9927,-0.229,0.931,-0.214,-0.26,-0.31
1760,-0.0649,-0.0048,0.9910,-0.397,0.702,-0.214,-0.28,-0.32
1780,-0.0632,-0.0061,0.9845,-0.137,0.840,-0.244,-0.36,-0.32
1801,-0.0642,-0.0032,0.9916,-0.198,0.947,-0.137,-0.18,-0.32
1820,-0.0640,-0.0056,0.9919,-0.122,0.809,-0.183,-0.32,-0.32
1840,-0.0645,-0.0045,0.9941,-0.092,0.519,-0.137,-0.26,-0.32
1860,-0.0658,-0.0060,0.9945,-0.046,0.244,-0.092,-0.34,-0.33
1880,-0.0612,-0.0071,0.9907,-0.061,0.183,-0.183,-0.41,-0.33
1900,-0.0632,-0.0033,0.9946,-0.107,0.290,-0.168,-0.19,-0.33
1921,-0.0646,-0.0023,0.9932,-0.137,0.168,-0.168,-0.13,-0.33
1940,-0.0629,-0.0032,0.9893,-0.107,0.153,-0.260,-0.18,-0.33
1960,-0.0662,-0.0043,0.9871,-0.046,0.473,-0.107,-0.25,-0.33
