t_ms,ax,ay,az,gx,gy,gz,roll_acc,roll_filt
26420,-0.1825,0.0129,1.0438,0.366,-0.031,3.634,0.71,-0.72
26440,-0.1802,0.0223,0.9860,0.336,-0.840,3.649,1.30,-0.68
26460,-0.1864,0.0200,0.9360,0.321,-0.977,3.573,1.23,-0.63
26480,-0.1936,0.0178,0.9712,0.504,-0.550,3.450,1.05,-0.59
26500,-0.1803,0.0272,0.9747,0.794,-0.916,3.405,1.60,-0.53
26521,-0.1843,0.0211,0.9529,0.672,-0.809,3.344,1.27,-0.48
26540,-0.1873,0.0347,0.9803,0.458,-0.321,3.328,2.03,-0.42
26560,-0.1754,0.0443,0.9774,0.366,-0.397,3.344,2.60,-0.35
26580,-0.1824,0.0397,0.9609,0.672,0.168,3.542,2.36,-0.29
26600,-0.1803,0.0281,0.9626,0.519,0.366,3.618,1.67,-0.24
26620,-0.1738,0.0293,0.9777,0.122,0.366,3.618,1.72,-0.19
26640,-0.1759,0.0181,0.9725,-0.351,0.244,3.481,1.06,-0.18
26660,-0.1854,0.0155,0.9539,-0.229,0.244,3.466,0.93,-0.16
26680,-0.1877,0.0221,0.9821,-0.244,0.702,3.450,1.29,-0.13
26701,-0.1863,0.0234,1.0021,-0.366,0.763,3.359,1.34,-0.11
26720,-0.1791,0.0332,0.9846,-0.382,0.504,3.313,1.93,-0.08
26740,-0.1825,0.0385,0.9821,-0.229,0.733,3.130,2.24,-0.04
26760,-0.1970,0.0435,0.9709,0.275,1.084,3.313,2.56,0.02
26780,-0.1874,0.0387,1.0195,0.580,1.588,3.252,2.17,0.08
26800,-0.1818,0.0320,0.9996,0.947,0.855,3.374,1.83,0.13
26820,-0.1716,0.0273,1.0000,1.237,1.252,3.435,1.57,0.18
26840,-0.1680,0.0155,1.0164,0.947,1.237,3.664,0.87,0.21
26860,-0.1720,0.0062,1.0345,0.458,0.992,3.573,0.34,0.23
26880,-0.1602,0.0084,1.0333,-0.153,0.565,3.557,0.47,0.23
26900,-0.1788,0.0087,1.0164,-0.870,0.336,3.557,0.49,0.22
26920,-0.1747,0.0214,1.0007,-1.069,0.229,3.450,1.22,0.22
26940,-0.1713,0.0410,0.9868,-0.641,-0.153,3.389,2.38,0.25
26960,-0.1682,0.0325,0.9937,-0.153,-0.473,3.282,1.87,0.28
26980,-0.1765,0.0265,0.9946,-0.244,-0.718,3.008,1.53,0.30
27000,-0.1621,0.0339,0.9644,-0.260,-0.916,2.916,2.02,0.32
27020,-0.1599,0.0217,0.9504,-0.321,-0.672,3.084,1.31,0.34
27040,-0.1600,0.0199,0.9716,-0.382,-0.595,3.008,1.17,0.35
27060,-0.1499,0.0232,0.9977,-0.214,-0.672,3.023,1.33,0.36
27080,-0.1482,0.0248,0.9788,-0.260,-0.977,3.206,1.45,0.38
27100,-0.1523,0.0077,0.9666,-0.046,-0.595,3.176,0.46,0.38
27120,-0.1438,0.0027,0.9792,0.122,-0.427,3.130,0.16,0.38
27140,-0.1426,-0.0123,0.9711,0.137,-0.412,3.115,-0.73,0.36
27160,-0.1500,-0.0145,0.9742,0.031,-0.015,2.931,-0.85,0.34
27180,-0.1439,-0.0131,0.9818,-0.336,0.275,2.733,-0.76,0.31
27200,-0.1400,-0.0088,0.9969,-0.809,0.534,2.611,-0.51,0.27
27238,-0.1316,0.0051,1.0360,-1.130,0.305,2.229,0.28,0.25
27242,-0.1310,0.0082,1.0269,-1.084,0.427,2.183,0.46,0.24
27260,-0.1348,0.0061,1.0087,-0.870,0.061,2.031,0.35,0.22
27280,-0.1294,0.0028,1.0022,-0.718,0.412,2.015,0.16,0.21
27301,-0.1198,0.0085,0.9912,-0.611,0.137,2.046,0.49,0.20
27320,-0.1207,0.0059,0.9774,-0.321,0.168,1.847,0.34,0.20
27340,-0.1125,-0.0044,1.0046,0.153,0.443,2.015,-0.25,0.19
27360,-0.1019,-0.0056,1.0120,0.183,0.198,2.061,-0.32,0.18
27380,-0.0997,-0.0046,1.0095,0.153,0.275,2.275,-0.26,0.18
27400,-0.0927,-0.0082,0.9963,0.290,-0.076,2.321,-0.47,0.17
27420,-0.0981,-0.0092,1.0065,-0.122,0.214,2.198,-0.52,0.15
27440,-0.0990,-0.0110,0.9999,-0.672,-0.076,2.382,-0.63,0.12
27460,-0.0907,-0.0031,0.9703,-0.855,0.031,2.153,-0.18,0.10
27480,-0.0907,-0.0023,0.9772,-0.687,0.061,2.275,-0.14,0.08
27500,-0.0834,-0.0070,0.9896,-0.809,-0.153,2.122,-0.40,0.06
27520,-0.0836,-0.0061,0.9791,-0.855,-0.321,1.878,-0.36,0.03
27540,-0.0807,-0.0170,0.9862,-0.672,-0.015,1.695,-0.99,-0.00
27561,-0.0717,-0.0297,0.9771,-0.947,-0.214,1.527,-1.74,-0.05
27580,-0.0731,-0.0338,0.9659,-1.221,-0.366,1.389,-2.00,-0.12
27600,-0.0671,-0.0233,0.9795,-1.450,-0.198,1.237,-1.36,-0.17
27620,-0.0627,-0.0239,0.9716,-1.267,-0.336,1.069,-1.41,-0.22
27640,-0.0573,-0.0270,0.9698,-0.901,-0.183,1.130,-1.59,-0.26
27661,-0.0568,-0.0325,0.9698,-0.687,0.000,1.115,-1.92,-0.31
27680,-0.0546,-0.0369,0.9692,-0.473,0.214,1.038,-2.18,-0.36
27700,-0.0582,-0.0427,0.9771,-0.336,0.489,1.008,-2.50,-0.41
27720,-0.0601,-0.0490,0.9871,-0.382,0.672,0.916,-2.84,-0.46
27740,-0.0552,-0.0421,0.9753,-0.427,0.641,0.840,-2.47,-0.51
27760,-0.0671,-0.0405,0.9724,0.000,0.916,0.779,-2.39,-0.55
27780,-0.0533,-0.0437,1.0068,0.107,1.145,0.595,-2.49,-0.59
27800,-0.0477,-0.0507,1.0052,0.305,0.687,0.489,-2.88,-0.63
27820,-0.0385,-0.0524,1.0101,0.046,1.008,0.366,-2.97,-0.67
27840,-0.0308,-0.0452,0.9984,-0.061,0.901,0.183,-2.59,-0.71
27860,-0.0377,-0.0382,0.9951,0.061,0.794,0.092,-2.20,-0.74
27880,-0.0341,-0.0441,1.0205,0.015,0.550,-0.031,-2.47,-0.77
27900,-0.0349,-0.0416,1.0299,0.031,0.290,-0.061,-2.31,-0.80
27920,-0.0415,-0.0311,1.0127,-0.076,0.015,-0.122,-1.76,-0.83
27940,-0.0289,-0.0344,1.0042,-0.137,-0.168,-0.137,-1.96,-0.85
27960,-0.0350,-0.0383,1.0000,-0.198,-0.107,-0.137,-2.20,-0.88
27980,-0.0160,-0.0394,0.9973,-0.550,-0.137,-0.076,-2.26,-0.92
28000,-0.0228,-0.0508,0.9747,-0.519,-0.214,-0.168,-2.98,-0.97
28020,-0.0155,-0.0536,1.0107,-0.779,0.076,-0.260,-3.03,-1.03
28040,-0.0045,-0.0466,0.9877,-0.870,-0.412,-0.321,-2.70,-1.08
28060,-0.0016,-0.0510,0.9763,-1.053,-0.137,-0.351,-2.99,-1.14
28080,-0.0048,-0.0433,0.9973,-1.420,-0.061,-0.412,-2.49,-1.19
28100,0.0076,-0.0452,1.0251,-1.542,-0.321,-0.458,-2.52,-1.25
28120,-0.0013,-0.0443,1.0026,-1.466,-0.626,-0.550,-2.53,-1.30
28140,-0.0048,-0.0443,0.9916,-1.008,-0.779,-0.565,-2.56,-1.35
28160,0.0026,-0.0552,0.9744,-0.809,-1.038,-0.580,-3.24,-1.40
28180,0.0037,-0.0648,0.9584,-0.550,-0.901,-0.702,-3.87,-1.46
28200,-0.0016,-0.0609,0.9410,-0.336,-0.687,-0.611,-3.70,-1.51
28220,0.0205,-0.0643,0.9796,-0.122,-0.336,-0.702,-3.76,-1.56
28240,0.0192,-0.0634,0.9763,0.183,-0.595,-0.580,-3.71,-1.60
28260,0.0160,-0.0614,0.9879,0.656,-0.107,-0.443,-3.56,-1.63
28280,0.0104,-0.0615,1.0156,0.550,0.015,-0.443,-3.47,-1.65
28300,0.0095,-0.0717,1.0258,0.336,0.198,-0.473,-4.00,-1.69
28321,0.0154,-0.0620,1.0000,-0.122,0.214,-0.580,-3.55,-1.73
28340,0.0076,-0.0486,0.9971,-0.534,0.565,-0.718,-2.79,-1.76
28360,0.0103,-0.0480,1.0162,-0.702,0.687,-0.885,-2.70,-1.80
28380,0.0156,-0.0406,1.0199,-0.595,0.595,-0.931,-2.28,-1.82
28400,0.0189,-0.0463,1.0428,-0.855,0.580,-0.885,-2.54,-1.85
28421,0.0299,-0.0417,1.0256,-1.038,0.351,-0.947,-2.33,-1.88
28440,0.0464,-0.0425,1.0189,-1.053,0.061,-1.115,-2.39,-1.91
28460,0.0460,-0.0470,1.0139,-1.176,-0.137,-0.977,-2.65,-1.95
28480,0.0530,-0.0455,0.9926,-1.267,-0.122,-0.962,-2.63,-1.99
28500,0.0609,-0.0441,1.0006,-1.435,0.168,-0.779,-2.52,-2.03
28520,0.0679,-0.0505,1.0042,-1.420,0.122,-0.702,-2.88,-2.07
28540,0.0764,-0.0568,1.0192,-1.450,0.321,-0.641,-3.19,-2.12
28560,0.0806,-0.0614,1.0208,-1.130,-0.244,-0.565,-3.44,-2.17
28599,0.0765,-0.0688,0.9938,-0.992,-0.550,-0.580,-3.96,-2.22
28603,0.0701,-0.0657,0.9823,-0.840,-0.565,-0.626,-3.82,-2.27
28620,0.0732,-0.0818,0.9978,-0.947,-0.672,-0.687,-4.69,-2.34
28640,0.0765,-0.0726,0.9742,-1.008,-0.977,-0.870,-4.26,-2.40
28660,0.0690,-0.0713,0.9724,-0.916,-0.550,-0.718,-4.19,-2.45
28680,0.0729,-0.0732,0.9875,-0.855,-0.321,-0.901,-4.24,-2.50
28700,0.0736,-0.0692,0.9882,-0.809,-0.275,-0.962,-4.01,-2.55
28720,0.0745,-0.0654,0.9814,-0.840,-0.168,-0.916,-3.81,-2.59
28740,0.0739,-0.0612,0.9963,-0.840,0.046,-0.992,-3.51,-2.63
28760,0.0717,-0.0579,0.9952,-0.580,-0.092,-0.947,-3.33,-2.65
28780,0.0636,-0.0601,1.0201,-0.443,0.229,-0.885,-3.37,-2.68
28800,0.0837,-0.0757,1.0363,-0.137,-0.122,-0.855,-4.18,-2.71
28820,0.0787,-0.0759,1.0087,-0.031,-0.076,-1.008,-4.30,-2.74
28840,0.0758,-0.0789,1.0278,-0.336,0.260,-0.885,-4.39,-2.78
28860,0.0653,-0.0779,0.9891,-0.580,-0.321,-0.962,-4.50,-2.83
28880,0.0503,-0.0774,1.0011,-0.992,0.290,-1.008,-4.42,-2.88
28900,0.0599,-0.0687,1.0131,-1.191,0.183,-1.069,-3.88,-2.92
28920,0.0592,-0.0698,1.0222,-1.099,0.519,-1.099,-3.91,-2.96
28940,0.0580,-0.0624,1.0319,-1.298,0.260,-1.191,-3.46,-3.00
28960,0.0768,-0.0638,1.0138,-1.298,-0.015,-1.099,-3.60,-3.04
28980,0.0593,-0.0621,0.9786,-1.221,0.137,-1.176,-3.63,-3.07
29000,0.0667,-0.0566,1.0029,-1.374,0.397,-1.176,-3.23,-3.10
29020,0.0758,-0.0604,0.9896,-0.901,-0.198,-1.084,-3.49,-3.13
29040,0.0668,-0.0558,0.9861,-0.611,-0.275,-0.901,-3.24,-3.14
29060,0.0674,-0.0665,0.9895,-0.031,-0.397,-0.718,-3.85,-3.16
29080,0.0747,-0.0775,0.9906,0.351,-0.412,-0.718,-4.47,-3.18
29100,0.0602,-0.0830,0.9691,0.244,-0.198,-0.763,-4.90,-3.20
29120,0.0544,-0.0771,0.9855,0.183,0.015,-0.763,-4.48,-3.23
29140,0.0669,-0.0857,1.0088,0.412,-0.046,-0.855,-4.86,-3.25
29160,0.0575,-0.0833,1.0239,0.290,-0.031,-0.885,-4.65,-3.27
29180,0.0444,-0.0770,1.0134,0.305,-0.336,-0.931,-4.35,-3.29
29200,0.0376,-0.0643,0.9973,0.137,-0.244,-0.947,-3.69,-3.29
29220,0.0005,-0.0596,0.9762,0.061,-0.046,-0.870,-3.49,-3.30
29240,0.0015,-0.0490,0.9697,0.076,0.427,-0.931,-2.89,-3.29
29260,-0.0177,-0.0413,0.9609,0.153,0.794,-0.885,-2.46,-3.27
29280,-0.0210,-0.0415,0.9613,0.427,1.160,-0.855,-2.47,-3.24
29300,-0.0254,-0.0448,0.9932,0.321,1.466,-0.824,-2.58,-3.22
29320,-0.0300,-0.0383,1.0065,0.366,1.160,-0.870,-2.18,-3.20
29340,-0.0280,-0.0490,0.9969,0.550,1.267,-0.931,-2.81,-3.18
29360,-0.0378,-0.0541,0.9988,0.244,1.389,-0.763,-3.10,-3.17
29380,-0.0298,-0.0557,1.0096,0.046,1.298,-0.931,-3.16,-3.17
29400,-0.0409,-0.0565,1.0029,-0.321,1.145,-0.870,-3.23,-3.18
29420,-0.0333,-0.0510,1.0129,-0.366,1.145,-0.916,-2.88,-3.18
29440,-0.0360,-0.0493,0.9996,-0.550,0.809,-0.794,-2.82,-3.18
29460,-0.0487,-0.0511,0.9889,-0.229,0.763,-0.779,-2.96,-3.18
29480,-0.0544,-0.0425,0.9719,0.168,0.534,-0.702,-2.50,-3.17
29500,-0.0535,-0.0463,0.9722,0.443,0.580,-0.718,-2.72,-3.15
29520,-0.0543,-0.0502,0.9867,0.901,0.763,-0.443,-2.91,-3.13
29540,-0.0588,-0.0464,1.0032,1.191,0.366,-0.519,-2.65,-3.09
29560,-0.0615,-0.0498,1.0187,1.298,0.275,-0.427,-2.80,-3.06
29580,-0.0602,-0.0574,1.0110,1.282,0.122,-0.443,-3.25,-3.04
29600,-0.0787,-0.0565,0.9834,1.115,0.092,-0.489,-3.29,-3.02
29620,-0.0901,-0.0557,1.0026,0.595,0.336,-0.656,-3.18,-3.01
29640,-0.0892,-0.0463,0.9894,0.351,0.244,-0.656,-2.68,-3.00
29660,-0.0781,-0.0450,0.9960,0.489,0.687,-0.763,-2.59,-2.98
29680,-0.0781,-0.0543,1.0168,0.397,0.489,-0.656,-3.06,-2.98
29700,-0.0569,-0.0558,1.0492,-0.290,0.580,-0.870,-3.04,-2.98
29720,-0.0452,-0.0321,0.9771,-0.626,-0.015,-0.840,-1.88,-2.97
29740,-0.0519,-0.0288,0.9297,-0.336,0.137,-0.916,-1.77,-2.96
29760,-0.0713,-0.0377,1.0039,-0.183,0.611,-0.870,-2.15,-2.94
29780,-0.0388,-0.0267,1.0488,0.153,-0.351,-0.824,-1.46,-2.91
29801,-0.0494,-0.0297,1.0197,-0.046,-0.672,-0.641,-1.67,-2.89
29820,-0.0492,-0.0416,0.9957,0.061,-0.458,-0.565,-2.39,-2.88
29840,-0.0283,-0.0565,1.0031,0.092,-0.519,-0.458,-3.23,-2.88
29860,-0.0364,-0.0660,1.0189,-0.443,-0.351,-0.412,-3.71,-2.91
29880,-0.0457,-0.0607,1.0007,-0.763,-0.534,-0.565,-3.47,-2.93
29900,-0.0280,-0.0579,0.9708,-0.321,-0.321,-0.565,-3.41,-2.95
29920,-0.0415,-0.0599,0.9879,-0.168,0.229,-0.718,-3.47,-2.96
29958,-0.0303,-0.0531,1.0187,0.244,-0.672,-0.840,-2.98,-2.96
29962,-0.0283,-0.0520,1.0117,0.183,-0.611,-0.870,-2.94,-2.95
29980,-0.0358,-0.0570,1.0090,0.504,-0.611,-0.840,-3.23,-2.95
30000,-0.0253,-0.0477,1.0161,0.473,-0.840,-0.855,-2.69,-2.94
30020,-0.0356,-0.0480,1.0377,0.351,-0.794,-0.779,-2.65,-2.92
30041,-0.0228,-0.0569,1.0514,-0.092,-0.901,-0.672,-3.10,-2.93
30060,-0.0096,-0.0332,0.9797,0.015,-1.756,-0.611,-1.94,-2.91
30080,-0.0216,-0.0498,1.0356,0.153,-0.901,-0.611,-2.75,-2.90
30100,-0.0441,-0.0525,1.0466,-0.031,-1.695,-0.565,-2.87,-2.90
30120,-0.0321,-0.0640,1.0042,-0.214,-1.603,-0.641,-3.64,-2.92
30141,-0.0438,-0.0575,1.0100,-0.779,-1.328,-0.855,-3.26,-2.94
30160,-0.0304,-0.0476,1.0140,-0.656,-1.405,-0.931,-2.69,-2.95
30180,-0.0308,-0.0554,1.0200,-0.901,-0.977,-0.901,-3.11,-2.97
30200,-0.0358,-0.0468,1.0408,-1.527,-0.931,-1.069,-2.57,-2.99
30220,-0.0197,-0.0291,0.9680,-1.710,-1.725,-0.931,-1.72,-3.00
30240,-0.0532,-0.0319,0.9445,-1.649,-0.824,-0.748,-1.93,-3.01
30260,-0.0625,-0.0342,0.9841,-2.412,-0.031,-0.763,-1.99,-3.04
30280,-0.0542,-0.0175,1.0121,-2.458,-0.046,-0.534,-0.99,-3.05
30300,-0.0522,-0.0359,1.0393,-1.542,-0.168,-0.595,-1.98,-3.06
30320,-0.0656,-0.0568,1.0341,-0.779,-0.855,-0.565,-3.14,-3.07
30340,-0.0525,-0.0605,0.9918,-0.015,-1.328,-0.672,-3.49,-3.08
30360,-0.0723,-0.0702,1.0044,-0.107,-0.580,-0.641,-4.00,-3.10
30380,-0.0898,-0.0598,1.0438,-0.885,-0.550,-0.763,-3.28,-3.12
30400,-0.0864,-0.0552,1.0155,-1.053,-0.840,-0.763,-3.11,-3.14
30420,-0.0896,-0.0342,1.0363,-1.298,-0.290,-0.626,-1.89,-3.14
30440,-0.0653,-0.0359,1.0125,-0.962,-0.519,-0.595,-2.03,-3.14
30460,-0.0734,-0.0369,1.0382,-1.237,-0.168,-0.504,-2.03,-3.14
30480,-0.0736,-0.0243,1.0479,-1.115,-0.534,-0.351,-1.33,-3.13
30500,-0.0671,-0.0345,1.0134,-0.748,-1.008,-0.198,-1.95,-3.12
30520,-0.0934,-0.0234,1.0453,-1.252,-0.809,-0.137,-1.28,-3.11
30540,-0.0852,-0.0142,1.0425,-0.824,-1.527,-0.137,-0.78,-3.08
30560,-0.0768,-0.0474,1.0547,-0.366,-1.740,-0.244,-2.57,-3.07
30580,-0.0973,-0.0483,1.0018,-0.992,-2.870,-0.458,-2.76,-3.09
30600,-0.1030,-0.0299,0.9958,-1.527,-2.504,-0.504,-1.72,-3.09
30620,-0.0953,-0.0326,0.9756,-1.008,-2.366,-0.473,-1.91,-3.09
30640,-0.1068,-0.0313,0.9659,-0.137,-1.695,-0.366,-1.85,-3.06
30660,-0.0929,-0.0498,0.9957,0.137,-1.282,-0.076,-2.86,-3.06
30680,-0.1016,-0.0596,0.9972,-0.015,-1.313,-0.092,-3.42,-3.06
30700,-0.1062,-0.0498,0.9824,-0.183,-1.008,-0.107,-2.90,-3.06
30720,-0.0984,-0.0449,0.9730,-0.366,-0.641,-0.168,-2.64,-3.06
30740,-0.1106,-0.0267,0.9972,-0.489,-0.275,-0.229,-1.54,-3.04
30760,-0.1045,-0.0281,0.9878,-0.275,-0.519,-0.046,-1.63,-3.02
30780,-0.1042,-0.0186,0.9712,-0.260,-0.229,0.031,-1.09,-2.99
30800,-0.1239,-0.0100,0.9768,-0.153,0.244,-0.076,-0.59,-2.94
30820,-0.1061,-0.0297,1.0018,0.107,0.260,-0.137,-1.70,-2.91
30840,-0.1227,-0.0326,0.9880,0.031,0.168,-0.137,-1.89,-2.89
30860,-0.1178,-0.0212,0.9912,0.092,0.611,-0.137,-1.23,-2.86
30880,-0.1281,-0.0289,0.9874,0.427,0.794,-0.031,-1.68,-2.83
30900,-0.1151,-0.0387,1.0417,0.290,1.527,0.229,-2.13,-2.81
30920,-0.1222,-0.0242,1.0059,0.458,0.687,0.336,-1.38,-2.77
30940,-0.1089,-0.0190,0.9849,0.809,0.824,0.565,-1.11,-2.72
30960,-0.1204,-0.0114,0.9821,0.534,0.992,0.687,-0.66,-2.67
30980,-0.1088,0.0100,0.9893,0.534,0.794,1.099,0.58,-2.59
31000,-0.1132,0.0298,0.9683,0.824,0.489,1.328,1.76,-2.49
31020,-0.1168,0.0304,0.9916,1.496,0.641,1.725,1.76,-2.37
31040,-0.1154,0.0240,0.9954,1.939,0.260,1.924,1.38,-2.26
31060,-0.1198,0.0176,0.9867,1.985,0.168,2.000,1.02,-2.16
31080,-0.1353,0.0304,0.9791,1.618,0.168,2.321,1.78,-2.05
31100,-0.1250,0.0259,1.0121,1.344,0.382,2.412,1.46,-1.95
31120,-0.1191,0.0341,1.0049,0.809,0.061,2.595,1.94,-1.86
31140,-0.1277,0.0488,0.9650,0.504,-0.107,2.702,2.90,-1.75
31160,-0.1257,0.0582,0.9762,0.382,0.214,2.870,3.41,-1.64
31180,-0.1276,0.0718,0.9797,0.275,0.275,3.328,4.19,-1.52
31200,-0.1232,0.0688,0.9819,0.366,0.321,3.557,4.01,-1.40
31220,-0.1218,0.0762,0.9867,0.000,0.290,3.847,4.41,-1.28
31240,-0.1287,0.0868,0.9686,-0.244,0.382,4.076,5.12,-1.16
31260,-0.1243,0.0974,0.9614,0.153,0.626,4.565,5.79,-1.02
31280,-0.1331,0.1013,0.9648,0.794,0.947,4.855,5.99,-0.86
31318,-0.1272,0.0870,1.0042,1.130,0.595,5.573,4.95,-0.73
31322,-0.1285,0.0900,1.0009,1.130,0.611,5.618,5.14,-0.59
31340,-0.1392,0.0902,1.0012,0.595,0.748,5.863,5.15,-0.46
31360,-0.1466,0.0927,1.0098,0.458,0.656,6.183,5.24,-0.34
31380,-0.1416,0.0989,1.0127,0.198,0.412,6.382,5.58,-0.21
31400,-0.1473,0.1085,0.9868,0.137,0.550,6.779,6.28,-0.08
31420,-0.1411,0.1113,1.0084,-0.244,0.779,6.901,6.30,0.04
31440,-0.1478,0.1178,1.0100,-0.366,0.214,7.206,6.65,0.17
31460,-0.1541,0.1232,1.0045,-0.260,0.260,7.496,6.99,0.30
31480,-0.1506,0.1376,1.0020,-0.244,0.260,7.618,7.82,0.44
31500,-0.1534,0.1367,1.0034,-0.397,0.015,7.924,7.76,0.58
31520,-0.1530,0.1333,1.0012,-0.427,-0.092,8.275,7.58,0.71
31540,-0.1548,0.1323,0.9712,-0.580,-0.412,8.366,7.76,0.84
31560,-0.1663,0.1322,0.9696,-0.565,0.122,8.672,7.76,0.97
31580,-0.1624,0.1249,0.9843,-0.412,0.168,8.931,7.23,1.09
31600,-0.1666,0.1196,1.0022,-0.382,0.107,9.145,6.81,1.19
31620,-0.1644,0.1239,0.9883,-0.427,-0.244,9.160,7.15,1.30
31640,-0.1683,0.1229,0.9709,-0.565,-0.244,9.389,7.22,1.41
31660,-0.1725,0.1237,1.0011,-0.504,-0.061,9.710,7.04,1.51
31680,-0.1606,0.1273,0.9915,-0.336,-0.397,9.802,7.32,1.62
31700,-0.1654,0.1283,0.9843,-0.107,-0.015,9.893,7.43,1.74
31720,-0.1659,0.1305,0.9781,-0.382,0.015,10.168,7.60,1.85
31740,-0.1678,0.1401,0.9763,-0.458,0.260,10.229,8.17,1.97
31760,-0.1537,0.1506,0.9636,-0.672,0.534,10.397,8.88,2.09
31780,-0.1663,0.1603,0.9442,-0.626,0.641,10.626,9.63,2.23
31800,-0.1605,0.1638,0.9657,-0.336,0.885,10.962,9.63,2.37
31820,-0.1619,0.1708,0.9854,0.305,0.702,11.237,9.83,2.53
31840,-0.1671,0.1558,1.0154,0.992,0.672,11.481,8.72,2.67
31860,-0.1592,0.1482,1.0028,1.313,0.397,11.664,8.41,2.81
31880,-0.1522,0.1425,0.9810,1.176,0.672,11.832,8.26,2.94
31900,-0.1517,0.1451,0.9937,0.779,1.084,12.153,8.31,3.06
31920,-0.1505,0.1498,1.0179,0.321,0.840,12.321,8.37,3.18
31940,-0.1389,0.1586,1.0256,0.183,0.458,12.473,8.79,3.29
31960,-0.1287,0.1760,0.9772,0.137,-0.137,12.611,10.21,3.43
31980,-0.1418,0.1750,0.9402,-0.061,0.168,12.992,10.55,3.57
32000,-0.1396,0.1796,0.9585,-1.130,0.962,13.191,10.61,3.69
32020,-0.1252,0.2086,0.9546,-1.237,1.145,13.496,12.33,3.84
32040,-0.1180,0.2069,0.9344,-0.794,1.176,13.893,12.49,4.00
32060,-0.1284,0.1942,0.9313,-0.443,1.405,14.015,11.78,4.15
32080,-0.1171,0.1969,0.9640,-0.519,1.985,14.351,11.54,4.28
32100,-0.1124,0.1893,0.9747,-0.794,2.015,14.595,10.99,4.40
32120,-0.1304,0.1780,1.0071,-1.145,2.244,14.855,10.02,4.49
32140,-0.1121,0.1868,1.0228,-1.420,1.664,14.977,10.35,4.58
32160,-0.1101,0.1866,1.0140,-1.450,1.389,15.206,10.43,4.67
32180,-0.1195,0.1815,1.0253,-1.191,0.947,15.450,10.04,4.75
32200,-0.1149,0.1744,1.0596,-1.115,0.382,15.328,9.35,4.82
32220,-0.1228,0.1720,1.0739,-1.328,-0.260,15.496,9.10,4.88
32240,-0.1180,0.1730,1.0765,-1.115,-0.763,15.664,9.13,4.95
32260,-0.0986,0.1775,1.0588,-0.931,-1.374,15.756,9.52,5.02
32280,-0.0966,0.1663,1.0153,-0.947,-1.511,15.863,9.30,5.09
32300,-0.0956,0.1753,0.9884,-1.557,-1.160,16.107,10.06,5.16
32320,-0.1021,0.1869,0.9901,-1.786,-0.916,16.366,10.69,5.23
32340,-0.0909,0.1953,0.9771,-1.511,-0.763,16.611,11.30,5.32
32360,-0.0880,0.1924,0.9364,-0.427,-0.870,16.656,11.61,5.44
32380,-0.0754,0.1786,0.9496,0.168,-0.321,16.809,10.65,5.55
32400,-0.0790,0.1552,0.9647,0.153,-0.336,16.931,9.14,5.62
32420,-0.0715,0.1499,0.9740,-0.580,-0.275,16.763,8.75,5.67
32440,-0.0751,0.1639,0.9508,-0.916,-0.473,16.809,9.78,5.74
32460,-0.0536,0.1588,0.9380,-0.718,-0.656,16.885,9.61,5.80
32480,-0.0608,0.1484,0.9120,-0.611,-0.580,16.718,9.24,5.86
32500,-0.0498,0.1472,0.8829,-0.885,-0.305,16.595,9.47,5.91
32520,-0.0588,0.1334,0.8694,-0.870,0.137,16.290,8.73,5.95
32540,-0.0634,0.1047,0.9722,-1.359,1.267,15.954,6.15,5.93
32560,-0.0637,0.1014,1.0073,-2.046,0.580,15.649,5.75,5.89
32580,-0.0452,0.1007,1.0287,-2.656,0.641,15.359,5.59,5.83
32601,-0.0718,0.1205,0.9774,-3.389,0.519,15.176,7.03,5.79
32620,-0.0754,0.1100,0.9825,-3.359,1.359,14.794,6.39,5.73
32640,-0.0868,0.1013,1.0742,-4.076,2.366,14.641,5.39,5.65
32660,-0.0762,0.1151,1.1152,-4.779,2.153,14.183,5.89,5.56
32680,-0.0592,0.1292,1.0326,-4.962,2.122,14.137,7.13,5.49
32719,-0.0210,0.1094,0.9745,-4.351,3.863,14.290,6.40,5.42
32723,-0.0170,0.1051,0.9763,-4.290,3.847,14.305,6.14,5.35
32740,-0.0139,0.1003,0.9839,-4.046,3.481,13.985,5.82,5.28
32760,-0.0341,0.0916,0.9840,-3.664,3.069,13.893,5.32,5.21
32780,-0.0419,0.0924,1.0022,-2.901,2.580,13.634,5.27,5.16
32800,-0.0331,0.0835,1.0236,-1.969,1.725,13.527,4.66,5.11
32820,-0.0359,0.0710,1.0076,-1.420,1.038,13.496,4.03,5.06
32840,-0.0366,0.0940,0.9938,-1.466,0.763,13.695,5.40,5.04
32860,-0.0310,0.1051,1.0330,-1.618,0.458,13.878,5.81,5.02
32880,-0.0470,0.1058,1.0592,-1.099,-0.473,13.969,5.71,5.01
32900,-0.0255,0.0994,1.0746,-0.656,-1.679,14.321,5.28,5.01
32920,-0.0255,0.1013,1.0590,-0.244,-2.702,14.519,5.47,5.01
32940,-0.0094,0.1105,0.9967,0.107,-4.397,14.687,6.32,5.04
32960,-0.0215,0.0917,0.9521,0.550,-4.794,14.885,5.50,5.06
32980,-0.0435,0.1061,0.9430,0.840,-4.779,14.702,6.42,5.10
33000,-0.0542,0.1030,0.9583,0.962,-4.122,14.595,6.14,5.14
33020,-0.0298,0.1008,0.9551,1.176,-3.740,14.473,6.03,5.18
